Date,Hour,Temp,Radiation,Humidity,WindSpeed
2013-07-31T23:00:00-04:00,24,21.0,-32.0,0.64,2.0
2013-08-01T00:00:00-04:00,1,21.0,-32.0,0.64,4.0
2013-08-01T01:00:00-04:00,2,21.0,-32.0,0.64,2.0
2013-08-01T02:00:00-04:00,3,21.0,-35.0,0.73,2.0
2013-08-01T03:00:00-04:00,4,21.0,-24.0,0.73,4.0
2013-08-01T04:00:00-04:00,5,19.0,-24.0,0.83,6.0
2013-08-01T05:00:00-04:00,6,19.0,-34.0,0.83,6.0
2013-08-01T06:00:00-04:00,7,19.0,-34.0,0.83,6.0
2013-08-01T07:00:00-04:00,8,19.0,-7.0,0.83,6.0
2013-08-01T08:00:00-04:00,9,21.0,-121.0,0.73,6.0
2013-08-01T09:00:00-04:00,10,21.0,137.0,0.73,6.0
2013-08-01T10:00:00-04:00,11,23.0,263.0,0.65,6.0
2013-08-01T11:00:00-04:00,12,23.0,380.0,0.65,7.0
2013-08-01T12:00:00-04:00,13,25.0,398.0,0.61,9.0
2013-08-01T13:00:00-04:00,14,25.0,485.0,0.61,9.0
2013-08-01T14:00:00-04:00,15,24.0,500.0,0.65,9.0
2013-08-01T15:00:00-04:00,16,24.0,323.0,0.65,9.0
2013-08-01T16:00:00-04:00,17,23.8,154.0,0.67,9.0
2013-08-01T17:00:00-04:00,18,23.5,-4.0,0.69,9.0
2013-08-01T18:00:00-04:00,19,23.2,-37.0,0.7,9.0
2013-08-01T19:00:00-04:00,20,23.1,-62.0,0.72,9.0
2013-08-01T20:00:00-04:00,21,22.8,-44.0,0.73,9.0
2013-08-01T21:00:00-04:00,22,22.5,-44.0,0.74,9.0
2013-08-01T22:00:00-04:00,23,22.1,-44.0,0.76,9.0
2013-08-01T23:00:00-04:00,24,21.6,-13.0,0.78,9.0
2013-08-02T00:00:00-04:00,1,21.3,-13.0,0.79,9.0
2013-08-02T01:00:00-04:00,2,21.0,-13.0,0.8,9.0
2013-08-02T02:00:00-04:00,3,20.7,-34.0,0.82,9.0
2013-08-02T03:00:00-04:00,4,20.2,-34.0,0.83,9.0
2013-08-02T04:00:00-04:00,5,19.7,-34.0,0.85,9.0
2013-08-02T05:00:00-04:00,6,19.2,-53.0,0.86,9.0
2013-08-02T06:00:00-04:00,7,19.1,-53.0,0.87,9.0
2013-08-02T07:00:00-04:00,8,19.0,-14.0,0.88,11.0
2013-08-02T08:00:00-04:00,9,18.8,91.0,0.89,13.0
2013-08-02T09:00:00-04:00,10,19.1,209.0,0.86,13.0
2013-08-02T10:00:00-04:00,11,19.5,320.0,0.84,15.0
2013-08-02T11:00:00-04:00,12,19.8,252.0,0.81,15.0
2013-08-02T12:00:00-04:00,13,20.8,391.0,0.76,17.0
2013-08-02T13:00:00-04:00,14,22.0,494.0,0.7,19.0
2013-08-02T14:00:00-04:00,15,23.2,556.0,0.64,20.0
2013-08-02T15:00:00-04:00,16,22.8,514.0,0.66,20.0
2013-08-02T16:00:00-04:00,17,22.3,425.0,0.69,19.0
