Date,Hour,Temp,Radiation,Humidity,WindSpeed,Steam
2013-07-31T16:00:00-04:00,17,26.0,409.0,0.49,9.0,5200.0
2013-07-31T17:00:00-04:00,18,26.0,455.0,0.5,9.0,6000.0
2013-07-31T18:00:00-04:00,19,25.7,292.0,0.58,9.0,6000.0
2013-07-31T19:00:00-04:00,20,25.3,131.0,0.65,9.0,5600.0
2013-07-31T20:00:00-04:00,21,24.8,67.0,0.73,7.0,6000.0
2013-07-31T21:00:00-04:00,22,21.0,-31.0,0.64,4.0,6400.0
2013-07-31T22:00:00-04:00,23,21.0,-31.0,0.64,4.0,6400.0
2013-07-31T23:00:00-04:00,24,21.0,-32.0,0.64,2.0,5600.0
2013-08-01T00:00:00-04:00,1,21.0,-32.0,0.64,4.0,5200.0
2013-08-01T01:00:00-04:00,2,21.0,-32.0,0.64,2.0,5200.0
